Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SBR2U30P1","DIODE_SBR2U30P1",65.691900,57.777800,90.000000,top
"D2","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-21.267000,63.993000,180.000000,top
"D3","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-21.269500,44.923000,180.000000,top
"D4","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-21.267000,25.733000,180.000000,top
"D5","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-21.249500,83.013000,180.000000,top
"FB1","BLM21PG121SN1D","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.693000,25.733000,-90.000000,top
"FB2","BLM21PG121SN1D","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",10.988000,25.733000,90.000000,top
"L1","SRR1208-330YL","IND_BOURNS_SRR1208",55.568000,56.213000,180.000000,top
"R4","33","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",29.533000,18.113000,90.000000,top
"R5","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",32.708000,18.113000,90.000000,top
"R6","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",25.723000,12.408000,180.000000,top
"R7","6.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",14.233000,28.913000,180.000000,top
"R9","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.383000,21.073000,90.000000,top
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.603000,32.543000,0.000000,top
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.603000,39.423000,0.000000,top
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.603000,45.933000,0.000000,top
"R13","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.603000,49.223000,0.000000,top
"R14","12k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.383000,51.253000,90.000000,top
"R15","12k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",14.233000,48.593000,180.000000,top
"R16","12k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.603000,42.693000,180.000000,top
"R17","12k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.773000,42.323000,0.000000,top
"R18","3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",79.063000,56.213000,180.000000,top
"R19","6.8k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",51.613000,48.183000,0.000000,top
"R20","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",79.063000,52.403000,180.000000,top
"R21","1.3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",74.618000,52.403000,0.000000,top
"R22","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",36.518000,15.573000,180.000000,top
"R24","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",3.498000,42.243000,0.000000,top
"R25","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-14.282000,98.123000,180.000000,top
"R27","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",3.498000,45.418000,0.000000,top
"R28","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-14.287000,94.543000,180.000000,top
"R29","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.773000,45.513000,0.000000,top
"R33","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.773000,26.368000,0.000000,top
"R34","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.773000,35.893000,0.000000,top
"R35","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.773000,39.068000,0.000000,top
"R36","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.773000,29.543000,0.000000,top
"R37","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.773000,32.718000,0.000000,top
"R38","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.693000,51.253000,90.000000,top
"R41","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",20.643000,51.253000,-90.000000,top
"R42","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-14.787000,53.753000,0.000000,top
"R43","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-8.477000,58.263000,90.000000,top
"R44","27","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-21.257000,59.133000,180.000000,top
"R45","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-5.187000,58.263000,-90.000000,top
"R46","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-14.727000,34.563000,0.000000,top
"R47","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-8.747000,39.173000,90.000000,top
"R48","27","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-21.257000,40.043000,180.000000,top
"R49","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-5.487000,39.173000,-90.000000,top
"R50","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-14.917000,15.573000,0.000000,top
"R51","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-8.717000,20.083000,90.000000,top
"R52","27","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-21.247000,21.003000,180.000000,top
"R53","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-5.507000,20.083000,-90.000000,top
"R54","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-14.747000,72.803000,0.000000,top
"R55","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-8.617000,77.263000,90.000000,top
"R56","27","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-21.267000,78.203000,180.000000,top
"R57","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-5.407000,77.333000,-90.000000,top
"R58","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",57.813000,19.723000,-90.000000,top
"R59","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",62.843000,14.303000,0.000000,top
"R60","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",63.133000,19.723000,-90.000000,top
"R61","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",60.473000,19.723000,90.000000,top
"R62","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",40.758000,13.168000,180.000000,top
"R63","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",58.878000,14.348000,0.000000,top
"RN1","1k","R_Array_Convex_4x1206",50.484926,28.079768,180.000000,top
"RN2","1k","R_Array_Convex_4x1206",50.484926,35.258000,180.000000,top
"RN3","1k","R_Array_Convex_4x1206",50.484926,42.443000,180.000000,top
"RN4","1k","R_Array_Convex_4x1206",42.868000,58.118000,180.000000,top
"RN5","1k","R_Array_Convex_4x1206",37.153000,58.118000,180.000000,top
"RN6","1k","R_Array_Convex_4x1206",79.063000,42.643000,0.000000,top
"RN7","1k","R_Array_Convex_4x1206",79.068000,35.458000,0.000000,top
"RN8","1k","R_Array_Convex_4x1206",79.063000,28.273000,0.000000,top
"RN10","1k","R_Array_Convex_4x1206",46.678000,17.478000,90.000000,top
"RN12","1k","R_Array_Convex_4x1206",53.663000,17.478000,90.000000,top
"U1","MCS9990","LQFP-128_14x14mm_P0.4mm",26.993000,38.433000,90.000000,top
"U2","AP1513","SOP-8L_DIO",72.078000,58.118000,180.000000,top
"U3","CAT24C256YI-GT3","TSSOP-8_4.4x3mm_P0.65mm",-21.267000,98.758000,0.000000,top
"U4","AU6438BS","SSOP-28_3.9x9.9mm_P0.635mm",-14.742000,61.255934,180.000000,top
"U5","H26M31003","EMMC04G-M627-X03U_KNT",-30.792000,61.255934,-90.000000,top
"U6","H26M31003","EMMC04G-M627-X03U_KNT",-30.792000,42.168868,-90.000000,top
"U7","H26M31003","EMMC04G-M627-X03U_KNT",-30.792000,23.081800,-90.000000,top
"U8","AU6438BS","SSOP-28_3.9x9.9mm_P0.635mm",-14.742000,42.168868,180.000000,top
"U9","AU6438BS","SSOP-28_3.9x9.9mm_P0.635mm",-14.742000,23.081800,180.000000,top
"U10","AU6438BS","SSOP-28_3.9x9.9mm_P0.635mm",-14.742000,80.343000,180.000000,top
"U11","EMMC_4G","EMMC04G-M627-X03U_KNT",-30.792000,80.343000,-90.000000,top
"U12","MCS9990","LQFP-128_14x14mm_P0.4mm",64.458000,38.433000,90.000000,top
"Y1","12MHz","Crystal_SMD_HC49-SD",25.613000,58.703000,180.000000,top
"Y2","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-8.477000,64.593000,90.000000,top
"Y3","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-8.497000,45.443000,90.000000,top
"Y4","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-8.497000,26.243000,90.000000,top
"Y5","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-8.577000,83.503000,90.000000,top
